GISJOIN,YEAR,STATE,STATEFP,STATENH,NAME,AR9AA
GIS Join Match Code,Row Source Year,NHGIS Integrated State Name,FIPS State Code,NHGIS Integrated State Code,Year-Specific Area Name,Median age: Persons
G240,1920,Maryland,24,240,Maryland,
G240,1930,Maryland,24,240,Maryland,
G240,1940,Maryland,24,240,Maryland,
G240,1950,Maryland,24,240,Maryland,
G240,1960,Maryland,24,240,Maryland,
G240,1970,Maryland,24,240,Maryland,
G240,1980,Maryland,24,240,MARYLAND,30.3
G240,1990,Maryland,24,240,Maryland,33.1
G240,2000,Maryland,24,240,Maryland,36.0
G240,2010,Maryland,24,240,Maryland,38.0
G240,2020,Maryland,24,240,Maryland,38.8
