GISJOIN,YEAR,STATE,STATEFP,STATENH,NAME,CL5AA
GIS Join Match Code,Row Source Year,NHGIS Integrated State Name,FIPS State Code,NHGIS Integrated State Code,Year-Specific Area Name,Persons: In families
G240,1920,Maryland,24,240,Maryland,
G240,1930,Maryland,24,240,Maryland,
G240,1940,Maryland,24,240,Maryland,
G240,1950,Maryland,24,240,Maryland,
G240,1960,Maryland,24,240,Maryland,
G240,1970,Maryland,24,240,Maryland,3538407
G240,1980,Maryland,24,240,MARYLAND,3600718
G240,1990,Maryland,24,240,Maryland,3915552
G240,2000,Maryland,24,240,Maryland,4249042
G240,2010,Maryland,24,240,Maryland,4557973
G240,2020,Maryland,24,240,Maryland,4895184
