GISJOIN,YEAR,STATE,STATEFP,STATENH,NAME,A68AA
GIS Join Match Code,Row Source Year,NHGIS Integrated State Name,FIPS State Code,NHGIS Integrated State Code,Year-Specific Area Name,Families: Total
G240,1920,Maryland,24,240,Maryland,
G240,1930,Maryland,24,240,Maryland,
G240,1940,Maryland,24,240,Maryland,
G240,1950,Maryland,24,240,Maryland,
G240,1960,Maryland,24,240,Maryland,
G240,1970,Maryland,24,240,Maryland,971877
G240,1980,Maryland,24,240,MARYLAND,1089559
G240,1990,Maryland,24,240,Maryland,1245814
G240,2000,Maryland,24,240,Maryland,1359318
G240,2010,Maryland,24,240,Maryland,1447002
G240,2020,Maryland,24,240,Maryland,1542783
