GISJOIN,YEAR,STATE,STATEFP,STATENH,NAME,A00AA,A08AA,A08AB,D08AA,D08AB,AR9AA,B58AA,B58AB,B58AC,B58AD,B58AE,B58AF,B58AG,B58AH,B58AI,B58AJ,B58AK,B58AL,B58AM,B58AN,B58AO,B58AP,B58AQ,B58AR,B58AS,B58AT,B58AU,B58AV,B58AW,B58AX,B58AY,B58AZ,B58BA,B58BB,B58BC,B58BD,B58BE,B58BF,B58BG,B58BH,B58BI,B58BJ,B18AA,B18AB,B18AC,B18AD,B18AE,AS9AA,AS9AB,A39AA,A39AB,A39AC,A39AD,A39AE,A39AF,A39AG,A39AH,A39AI,A39AJ,A39AK,A39AL,A39AM,A39AN,A39AO,A39AP,CQ9AA,CR1AA,CR3AA,CR3AB,A68AA,CL5AA,AG4AA,AG4AB,AG4AC,AG4AD,AG4AE,AG4AF,AG4AG,AG4AH,AG4AI,AG4AJ,AG4AK,AG4AL
GIS Join Match Code,Row Source Year,NHGIS Integrated State Name,FIPS State Code,NHGIS Integrated State Code,Year-Specific Area Name,Persons: Total,Persons: Male,Persons: Female,Persons: Under 18 years,Persons: 18 years and over,Median age: Persons,Persons: Male ~ Under 5 years,Persons: Male ~ 5 to 9 years,Persons: Male ~ 10 to 14 years,Persons: Male ~ 15 to 17 years,Persons: Male ~ 18 and 19 years,Persons: Male ~ 20 years,Persons: Male ~ 21 years,Persons: Male ~ 22 to 24 years,Persons: Male ~ 25 to 29 years,Persons: Male ~ 30 to 34 years,Persons: Male ~ 35 to 44 years,Persons: Male ~ 45 to 54 years,Persons: Male ~ 55 to 59 years,Persons: Male ~ 60 and 61 years,Persons: Male ~ 62 to 64 years,Persons: Male ~ 65 to 74 years,Persons: Male ~ 75 to 84 years,Persons: Male ~ 85 years and over,Persons: Female ~ Under 5 years,Persons: Female ~ 5 to 9 years,Persons: Female ~ 10 to 14 years,Persons: Female ~ 15 to 17 years,Persons: Female ~ 18 and 19 years,Persons: Female ~ 20 years,Persons: Female ~ 21 years,Persons: Female ~ 22 to 24 years,Persons: Female ~ 25 to 29 years,Persons: Female ~ 30 to 34 years,Persons: Female ~ 35 to 44 years,Persons: Female ~ 45 to 54 years,Persons: Female ~ 55 to 59 years,Persons: Female ~ 60 and 61 years,Persons: Female ~ 62 to 64 years,Persons: Female ~ 65 to 74 years,Persons: Female ~ 75 to 84 years,Persons: Female ~ 85 years and over,Persons: White (single race),Persons: Black or African American (single race),Persons: American Indian and Alaska Native (single race),Persons: Asian and Pacific Islander and Other Race (single race),Persons: Two or More Races,Persons: In households ~ Male,Persons: In households ~ Female,Persons: In households ~ Under 5 years,Persons: In households ~ 5 to 9 years,Persons: In households ~ 10 to 14 years,Persons: In households ~ 15 to 17 years,Persons: In households ~ 18 and 19 years,Persons: In households ~ 20 years,Persons: In households ~ 21 years,Persons: In households ~ 22 to 24 years,Persons: In households ~ 25 to 34 years,Persons: In households ~ 35 to 44 years,Persons: In households ~ 45 to 54 years,Persons: In households ~ 55 to 59 years,Persons: In households ~ 60 and 61 years,Persons: In households ~ 62 to 64 years,Persons: In households ~ 65 to 74 years,Persons: In households ~ 75 years and over,Persons: In households ~ Under 18 years,Persons: In households ~ 65 years and over,Persons: In family households ~ 65 years and over,Persons: In nonfamily households ~ 65 years and over,Families: Total,Persons: In families,Families: Married-couple family ~ With own children under 18 years,Families: Married-couple family ~ With own children under 18 years ~ One or more under 6 years,Families: Married-couple family ~ With own children under 18 years ~ 6 to 17 years only,Families: Married-couple family ~ No own children under 18 years,"Families: Male householder, no spouse present ~ With own children under 18 years","Families: Male householder, no spouse present ~ With own children under 18 years ~ One or more under 6 years","Families: Male householder, no spouse present ~ With own children under 18 years ~ 6 to 17 years only","Families: Male householder, no spouse present ~ No own children under 18 years","Families: Female householder, no spouse present ~ With own children under 18 years","Families: Female householder, no spouse present ~ With own children under 18 years ~ One or more under 6 years","Families: Female householder, no spouse present ~ With own children under 18 years ~ 6 to 17 years only","Families: Female householder, no spouse present ~ No own children under 18 years"
"G010","1920","Alabama","01","010","Alabama",2348174,1173105,1175069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G025","1920","Alaska Territory",,"025","Alaska Territory",55036,34539,20497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G040","1920","Arizona","04","040","Arizona",334162,183602,150560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G050","1920","Arkansas","05","050","Arkansas",1752204,895228,856976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G060","1920","California","06","060","California",3426861,1813591,1613270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G080","1920","Colorado","08","080","Colorado",939629,492731,446898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G090","1920","Connecticut","09","090","Connecticut",1380631,695335,685296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G100","1920","Delaware","10","100","Delaware",223003,113755,109248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G110","1920","District of Columbia","11","110","District of Columbia",437571,203543,234028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G120","1920","Florida","12","120","Florida",968470,495320,473150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G130","1920","Georgia","13","130","Georgia",2895832,1444823,1451009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G155","1920","Hawaii Territory",,"155","Hawaii Territory",255881,151146,104766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G160","1920","Idaho","16","160","Idaho",431866,233919,197947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G170","1920","Illinois","17","170","Illinois",6485280,3304833,3180447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G180","1920","Indiana","18","180","Indiana",2930390,1489074,1441316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G190","1920","Iowa","19","190","Iowa",2404021,1229392,1174629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G200","1920","Kansas","20","200","Kansas",1769257,909221,860036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G210","1920","Kentucky","21","210","Kentucky",2416630,1227494,1189136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G220","1920","Louisiana","22","220","Louisianna",1798509,903335,895174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G230","1920","Maine","23","230","Maine",768014,388752,379262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G240","1920","Maryland","24","240","Maryland",1449661,729455,720206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G250","1920","Massachusetts","25","250","Massachusetts",3852356,1890014,1962342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G260","1920","Michigan","26","260","Michigan",3668412,1928436,1739976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G270","1920","Minnesota","27","270","Minnesota",2387125,1245537,1141588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G280","1920","Mississippi","28","280","Mississippi",1790618,897124,893494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G290","1920","Missouri","29","290","Missouri",3404055,1723319,1680736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G300","1920","Montana","30","300","Montana",548889,299941,248948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G310","1920","Nebraska","31","310","Nebraska",1296372,672805,623567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G320","1920","Nevada","32","320","Nevada",77407,46240,31167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G330","1920","New Hampshire","33","330","New Hampshire",443083,222112,220971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G340","1920","New Jersey","34","340","New Jersey",3155900,1590075,1565825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G350","1920","New Mexico","35","350","New Mexico",360350,190456,169894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G360","1920","New York","36","360","New York",10385228,5187350,5197877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G370","1920","North Carolina","37","370","North Carolina",2559123,1279062,1280061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G380","1920","North Dakota","38","380","North Dakota",646872,341673,305199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G390","1920","Ohio","39","390","Ohio",5759394,2955980,2803414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G400","1920","Oklahoma","40","400","Oklahoma",2028283,1058044,970239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G410","1920","Oregon","41","410","Oregon",783389,416334,367055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G420","1920","Pennsylvania","42","420","Pennsylvania",8720018,4429020,4290997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G440","1920","Rhode Island","44","440","Rhode Island",604397,297524,306873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G450","1920","South Carolina","45","450","South Carolina",1683724,838293,845431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G460","1920","South Dakota","46","460","South Dakota",636547,337120,299427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G470","1920","Tennessee","47","470","Tennessee",2337885,1173967,1163918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G480","1920","Texas","48","480","Texas",4663228,2409222,2254006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G490","1920","Utah","49","490","Utah",449396,232051,217345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G500","1920","Vermont","50","500","Vermont",352428,178854,173574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G510","1920","Virginia","51","510","Virginia",2309187,1168492,1140695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
