OBSERVATION DATE,Foreclosure Property Registration,Notice of Foreclosure,Notice of Intent to Foreclose
2021-07-01,1.0,2.0,12.0
2021-08-01,4.0,0.0,28.0
2021-09-01,3.0,2.0,52.0
2021-10-01,3.0,7.0,34.0
2021-11-01,1.0,3.0,40.0
2021-12-01,2.0,6.0,30.0
2022-01-01,0.0,6.0,38.0
2022-02-01,0.0,4.0,33.0
2022-03-01,1.0,9.0,58.0
2022-04-01,3.0,14.0,56.0
2022-05-01,6.0,12.0,51.0
2022-06-01,4.0,13.0,51.0
2022-07-01,3.0,7.0,47.0
2022-08-01,2.0,12.0,69.0
2022-09-01,6.0,11.0,63.0
2022-10-01,3.0,12.0,73.0
2022-11-01,4.0,13.0,71.0
2022-12-01,9.0,13.0,85.0
2023-01-01,5.0,9.0,77.0
2023-02-01,5.0,14.0,51.0
2023-03-01,9.0,7.0,79.0
2023-04-01,4.0,12.0,47.0
2023-05-01,4.0,12.0,60.0
2023-06-01,3.0,11.0,69.0
2023-07-23,1.0,8.0,50.0
2023-08-01,5.0,24.0,93.0
2023-09-01,2.0,18.0,54.0
2023-10-01,3.0,9.0,71.0
2023-11-01,9.0,13.0,54.0
2023-12-01,5.0,10.0,78.0
2024-01-01,7.0,17.0,83.0
2024-02-01,7.0,11.0,76.0
2024-03-01,5.0,17.0,53.0
2024-04-01,1.0,15.0,59.0
2024-05-01,9.0,11.0,57.0
2024-06-01,7.0,9.0,46.0
2024-07-01,3.0,5.0,64.0
2024-08-01,6.0,12.0,74.0
2024-09-01,1.0,10.0,59.0
2024-10-01,2.0,9.0,74.0
2024-11-01,9.0,12.0,69.0
2024-12-01,4.0,6.0,86.0
2025-01-01,6.0,30.0,100.0
2025-02-01,3.0,10.0,61.0
2025-03-01,9.0,22.0,50.0
2025-04-01,7.0,5.0,71.0
2025-05-01,3.0,5.0,56.0
2025-06-01,3.0,9.0,70.0
2025-07-01,3.0,12.0,81.0
2025-08-01,1.0,8.0,60.0
2025-09-01,0.0,13.0,72.0
2025-10-01,3.0,13.0,82.0
2025-11-01,1.0,6.0,74.0
