OBSERVATION DATE,Foreclosure Property Registration,Notice of Foreclosure,Notice of Intent to Foreclose
2021-07-01,2.0,5.0,60.0
2021-08-01,2.0,9.0,96.0
2021-09-01,3.0,12.0,258.0
2021-10-01,9.0,21.0,243.0
2021-11-01,9.0,30.0,218.0
2021-12-01,5.0,24.0,220.0
2022-01-01,11.0,37.0,252.0
2022-02-01,34.0,48.0,245.0
2022-03-01,5.0,42.0,272.0
2022-04-01,6.0,53.0,368.0
2022-05-01,11.0,61.0,305.0
2022-06-01,7.0,57.0,317.0
2022-07-01,12.0,48.0,346.0
2022-08-01,18.0,94.0,409.0
2022-09-01,14.0,71.0,396.0
2022-10-01,10.0,45.0,434.0
2022-11-01,9.0,57.0,379.0
2022-12-01,21.0,63.0,450.0
2023-01-01,15.0,86.0,531.0
2023-02-01,12.0,100.0,445.0
2023-03-01,27.0,79.0,475.0
2023-04-01,17.0,62.0,369.0
2023-05-01,8.0,75.0,471.0
2023-06-01,22.0,69.0,399.0
2023-07-23,12.0,58.0,421.0
2023-08-01,19.0,53.0,466.0
2023-09-01,13.0,61.0,413.0
2023-10-01,10.0,59.0,415.0
2023-11-01,10.0,61.0,426.0
2023-12-01,16.0,38.0,401.0
2024-01-01,12.0,56.0,535.0
2024-02-01,15.0,47.0,522.0
2024-03-01,6.0,66.0,499.0
2024-04-01,4.0,58.0,516.0
2024-05-01,16.0,46.0,512.0
2024-06-01,20.0,45.0,468.0
2024-07-01,17.0,54.0,555.0
2024-08-01,4.0,46.0,566.0
2024-09-01,8.0,52.0,540.0
2024-10-01,12.0,56.0,560.0
2024-11-01,8.0,34.0,502.0
2024-12-01,13.0,44.0,592.0
2025-01-01,11.0,38.0,667.0
2025-02-01,9.0,39.0,560.0
2025-03-01,5.0,71.0,528.0
2025-04-01,9.0,98.0,561.0
2025-05-01,1.0,58.0,543.0
2025-06-01,5.0,64.0,558.0
2025-07-01,10.0,63.0,598.0
2025-08-01,11.0,56.0,651.0
2025-09-01,10.0,67.0,579.0
2025-10-01,9.0,66.0,590.0
2025-11-01,7.0,89.0,586.0
