OBSERVATION DATE,Foreclosure Property Registration,Notice of Foreclosure,Notice of Intent to Foreclose
2021-07-01,9.0,11.0,110.0
2021-08-01,6.0,12.0,184.0
2021-09-01,15.0,33.0,443.0
2021-10-01,20.0,41.0,466.0
2021-11-01,11.0,46.0,401.0
2021-12-01,13.0,50.0,404.0
2022-01-01,10.0,87.0,517.0
2022-02-01,40.0,63.0,427.0
2022-03-01,16.0,83.0,566.0
2022-04-01,25.0,94.0,749.0
2022-05-01,25.0,107.0,593.0
2022-06-01,30.0,110.0,673.0
2022-07-01,25.0,84.0,621.0
2022-08-01,17.0,105.0,879.0
2022-09-01,35.0,160.0,780.0
2022-10-01,18.0,138.0,834.0
2022-11-01,21.0,105.0,758.0
2022-12-01,12.0,112.0,841.0
2023-01-01,31.0,155.0,1000.0
2023-02-01,16.0,130.0,836.0
2023-03-01,41.0,175.0,847.0
2023-04-01,25.0,131.0,731.0
2023-05-01,27.0,161.0,826.0
2023-06-01,32.0,128.0,689.0
2023-07-23,29.0,85.0,703.0
2023-08-01,37.0,95.0,889.0
2023-09-01,27.0,92.0,789.0
2023-10-01,37.0,118.0,863.0
2023-11-01,23.0,87.0,757.0
2023-12-01,21.0,80.0,749.0
2024-01-01,17.0,91.0,946.0
2024-02-01,29.0,108.0,890.0
2024-03-01,23.0,76.0,948.0
2024-04-01,21.0,79.0,852.0
2024-05-01,25.0,75.0,899.0
2024-06-01,21.0,98.0,896.0
2024-07-01,12.0,84.0,996.0
2024-08-01,14.0,84.0,1026.0
2024-09-01,13.0,70.0,995.0
2024-10-01,16.0,90.0,1031.0
2024-11-01,17.0,68.0,854.0
2024-12-01,19.0,83.0,1090.0
2025-01-01,16.0,76.0,1167.0
2025-02-01,12.0,70.0,994.0
2025-03-01,9.0,83.0,905.0
2025-04-01,28.0,82.0,956.0
2025-05-01,9.0,94.0,993.0
2025-06-01,14.0,102.0,990.0
2025-07-01,13.0,87.0,1059.0
2025-08-01,12.0,82.0,1128.0
2025-09-01,10.0,83.0,1086.0
2025-10-01,20.0,101.0,1191.0
2025-11-01,13.0,103.0,1030.0
