OBSERVATION DATE,Foreclosure Property Registration,Notice of Foreclosure,Notice of Intent to Foreclose
2021-07-01,17.0,14.0,146.0
2021-08-01,8.0,31.0,237.0
2021-09-01,14.0,30.0,433.0
2021-10-01,13.0,42.0,469.0
2021-11-01,17.0,71.0,429.0
2021-12-01,19.0,74.0,370.0
2022-01-01,15.0,77.0,472.0
2022-02-01,36.0,95.0,425.0
2022-03-01,27.0,120.0,515.0
2022-04-01,30.0,101.0,755.0
2022-05-01,29.0,132.0,585.0
2022-06-01,29.0,114.0,670.0
2022-07-01,27.0,115.0,628.0
2022-08-01,29.0,147.0,776.0
2022-09-01,30.0,177.0,678.0
2022-10-01,35.0,114.0,698.0
2022-11-01,27.0,119.0,640.0
2022-12-01,56.0,137.0,730.0
2023-01-01,44.0,143.0,911.0
2023-02-01,33.0,146.0,815.0
2023-03-01,53.0,172.0,754.0
2023-04-01,30.0,122.0,661.0
2023-05-01,20.0,161.0,807.0
2023-06-01,50.0,131.0,663.0
2023-07-23,40.0,126.0,704.0
2023-08-01,37.0,162.0,849.0
2023-09-01,44.0,144.0,758.0
2023-10-01,41.0,124.0,745.0
2023-11-01,43.0,123.0,695.0
2023-12-01,40.0,97.0,666.0
2024-01-01,54.0,123.0,914.0
2024-02-01,45.0,156.0,769.0
2024-03-01,28.0,120.0,865.0
2024-04-01,36.0,140.0,835.0
2024-05-01,47.0,125.0,883.0
2024-06-01,47.0,123.0,838.0
2024-07-01,43.0,147.0,947.0
2024-08-01,23.0,146.0,979.0
2024-09-01,47.0,130.0,946.0
2024-10-01,43.0,138.0,955.0
2024-11-01,50.0,97.0,852.0
2024-12-01,39.0,114.0,1162.0
2025-01-01,42.0,120.0,1200.0
2025-02-01,19.0,171.0,1114.0
2025-03-01,35.0,146.0,906.0
2025-04-01,58.0,144.0,977.0
2025-05-01,50.0,123.0,937.0
2025-06-01,52.0,185.0,960.0
2025-07-01,80.0,220.0,1073.0
2025-08-01,74.0,198.0,1133.0
2025-09-01,43.0,153.0,1075.0
2025-10-01,83.0,182.0,1170.0
2025-11-01,121.0,173.0,1052.0
