OBSERVATION DATE,Foreclosure Property Registration,Notice of Foreclosure,Notice of Intent to Foreclose
2021-07-01,1.0,2.0,11.0
2021-08-01,0.0,0.0,24.0
2021-09-01,1.0,3.0,58.0
2021-10-01,1.0,5.0,65.0
2021-11-01,3.0,8.0,64.0
2021-12-01,1.0,4.0,53.0
2022-01-01,2.0,6.0,80.0
2022-02-01,6.0,7.0,66.0
2022-03-01,1.0,10.0,67.0
2022-04-01,4.0,6.0,95.0
2022-05-01,5.0,13.0,61.0
2022-06-01,0.0,6.0,91.0
2022-07-01,0.0,8.0,109.0
2022-08-01,3.0,15.0,110.0
2022-09-01,2.0,23.0,110.0
2022-10-01,1.0,21.0,110.0
2022-11-01,6.0,20.0,90.0
2022-12-01,4.0,23.0,109.0
2023-01-01,6.0,22.0,150.0
2023-02-01,3.0,19.0,110.0
2023-03-01,6.0,12.0,116.0
2023-04-01,4.0,17.0,86.0
2023-05-01,5.0,22.0,101.0
2023-06-01,9.0,18.0,109.0
2023-07-23,2.0,16.0,91.0
2023-08-01,7.0,20.0,115.0
2023-09-01,3.0,17.0,101.0
2023-10-01,3.0,13.0,107.0
2023-11-01,9.0,7.0,96.0
2023-12-01,0.0,12.0,97.0
2024-01-01,8.0,15.0,132.0
2024-02-01,11.0,14.0,96.0
2024-03-01,7.0,13.0,121.0
2024-04-01,4.0,10.0,132.0
2024-05-01,3.0,9.0,127.0
2024-06-01,3.0,14.0,107.0
2024-07-01,2.0,18.0,108.0
2024-08-01,5.0,14.0,94.0
2024-09-01,0.0,9.0,122.0
2024-10-01,1.0,12.0,138.0
2024-11-01,1.0,13.0,119.0
2024-12-01,0.0,12.0,146.0
2025-01-01,4.0,7.0,165.0
2025-02-01,2.0,17.0,133.0
2025-03-01,4.0,14.0,139.0
2025-04-01,0.0,11.0,147.0
2025-05-01,2.0,15.0,106.0
2025-06-01,2.0,17.0,135.0
2025-07-01,1.0,16.0,134.0
2025-08-01,1.0,21.0,138.0
2025-09-01,3.0,15.0,138.0
2025-10-01,1.0,18.0,154.0
2025-11-01,2.0,15.0,155.0
