OBSERVATION DATE,Foreclosure Property Registration,Notice of Foreclosure,Notice of Intent to Foreclose
2021-07-01,2.0,1.0,9.0
2021-08-01,1.0,1.0,20.0
2021-09-01,3.0,3.0,67.0
2021-10-01,2.0,0.0,69.0
2021-11-01,1.0,6.0,66.0
2021-12-01,2.0,5.0,70.0
2022-01-01,1.0,6.0,67.0
2022-02-01,8.0,15.0,68.0
2022-03-01,0.0,8.0,95.0
2022-04-01,2.0,13.0,114.0
2022-05-01,3.0,13.0,74.0
2022-06-01,3.0,12.0,90.0
2022-07-01,5.0,12.0,105.0
2022-08-01,2.0,22.0,103.0
2022-09-01,3.0,23.0,111.0
2022-10-01,2.0,16.0,105.0
2022-11-01,3.0,15.0,109.0
2022-12-01,4.0,15.0,120.0
2023-01-01,1.0,29.0,130.0
2023-02-01,6.0,15.0,123.0
2023-03-01,3.0,25.0,133.0
2023-04-01,3.0,13.0,88.0
2023-05-01,3.0,15.0,120.0
2023-06-01,8.0,19.0,77.0
2023-07-23,3.0,15.0,121.0
2023-08-01,4.0,21.0,128.0
2023-09-01,6.0,7.0,115.0
2023-10-01,6.0,14.0,107.0
2023-11-01,2.0,16.0,117.0
2023-12-01,4.0,13.0,108.0
2024-01-01,2.0,13.0,127.0
2024-02-01,1.0,20.0,110.0
2024-03-01,4.0,14.0,127.0
2024-04-01,0.0,11.0,130.0
2024-05-01,3.0,13.0,125.0
2024-06-01,4.0,13.0,123.0
2024-07-01,0.0,21.0,156.0
2024-08-01,0.0,11.0,161.0
2024-09-01,2.0,8.0,135.0
2024-10-01,1.0,20.0,124.0
2024-11-01,1.0,11.0,129.0
2024-12-01,2.0,14.0,155.0
2025-01-01,0.0,7.0,167.0
2025-02-01,1.0,8.0,168.0
2025-03-01,3.0,14.0,143.0
2025-04-01,1.0,12.0,129.0
2025-05-01,2.0,10.0,141.0
2025-06-01,1.0,10.0,129.0
2025-07-01,2.0,17.0,164.0
2025-08-01,1.0,11.0,157.0
2025-09-01,2.0,5.0,160.0
2025-10-01,4.0,16.0,150.0
2025-11-01,1.0,15.0,168.0
