OBSERVATION DATE,Foreclosure Property Registration,Notice of Foreclosure,Notice of Intent to Foreclose
2021-07-01,0.0,0.0,13.0
2021-08-01,1.0,2.0,31.0
2021-09-01,2.0,6.0,58.0
2021-10-01,0.0,4.0,79.0
2021-11-01,1.0,6.0,65.0
2021-12-01,1.0,12.0,61.0
2022-01-01,3.0,10.0,71.0
2022-02-01,2.0,6.0,64.0
2022-03-01,2.0,19.0,64.0
2022-04-01,7.0,16.0,100.0
2022-05-01,3.0,21.0,66.0
2022-06-01,3.0,16.0,102.0
2022-07-01,5.0,13.0,72.0
2022-08-01,4.0,29.0,107.0
2022-09-01,0.0,16.0,116.0
2022-10-01,1.0,16.0,108.0
2022-11-01,0.0,20.0,118.0
2022-12-01,6.0,24.0,104.0
2023-01-01,3.0,19.0,135.0
2023-02-01,3.0,22.0,117.0
2023-03-01,8.0,23.0,109.0
2023-04-01,3.0,13.0,88.0
2023-05-01,4.0,13.0,105.0
2023-06-01,5.0,21.0,83.0
2023-07-23,2.0,13.0,102.0
2023-08-01,6.0,22.0,107.0
2023-09-01,10.0,10.0,93.0
2023-10-01,8.0,10.0,114.0
2023-11-01,4.0,13.0,99.0
2023-12-01,4.0,16.0,91.0
2024-01-01,5.0,12.0,127.0
2024-02-01,3.0,10.0,97.0
2024-03-01,3.0,10.0,121.0
2024-04-01,1.0,4.0,113.0
2024-05-01,4.0,14.0,108.0
2024-06-01,2.0,9.0,115.0
2024-07-01,4.0,10.0,108.0
2024-08-01,2.0,9.0,119.0
2024-09-01,0.0,8.0,127.0
2024-10-01,1.0,19.0,137.0
2024-11-01,3.0,15.0,112.0
2024-12-01,1.0,10.0,131.0
2025-01-01,0.0,9.0,165.0
2025-02-01,0.0,6.0,146.0
2025-03-01,1.0,8.0,118.0
2025-04-01,3.0,6.0,133.0
2025-05-01,2.0,8.0,117.0
2025-06-01,2.0,13.0,135.0
2025-07-01,1.0,13.0,143.0
2025-08-01,2.0,12.0,132.0
2025-09-01,0.0,14.0,132.0
2025-10-01,2.0,19.0,130.0
2025-11-01,4.0,22.0,123.0
