OBSERVATION DATE,Foreclosure Property Registration,Notice of Foreclosure,Notice of Intent to Foreclose
2021-07-01,5.0,2.0,37.0
2021-08-01,1.0,6.0,54.0
2021-09-01,1.0,9.0,109.0
2021-10-01,0.0,22.0,159.0
2021-11-01,4.0,11.0,143.0
2021-12-01,2.0,8.0,117.0
2022-01-01,6.0,20.0,145.0
2022-02-01,4.0,10.0,177.0
2022-03-01,4.0,22.0,231.0
2022-04-01,4.0,25.0,250.0
2022-05-01,6.0,43.0,225.0
2022-06-01,4.0,24.0,250.0
2022-07-01,8.0,27.0,275.0
2022-08-01,5.0,31.0,313.0
2022-09-01,4.0,37.0,306.0
2022-10-01,8.0,35.0,290.0
2022-11-01,4.0,41.0,279.0
2022-12-01,9.0,32.0,328.0
2023-01-01,7.0,34.0,396.0
2023-02-01,9.0,54.0,330.0
2023-03-01,13.0,54.0,336.0
2023-04-01,6.0,43.0,272.0
2023-05-01,8.0,52.0,340.0
2023-06-01,10.0,35.0,286.0
2023-07-23,8.0,23.0,296.0
2023-08-01,11.0,31.0,386.0
2023-09-01,8.0,33.0,352.0
2023-10-01,16.0,30.0,352.0
2023-11-01,19.0,23.0,340.0
2023-12-01,4.0,25.0,313.0
2024-01-01,7.0,30.0,367.0
2024-02-01,5.0,28.0,355.0
2024-03-01,8.0,29.0,408.0
2024-04-01,5.0,32.0,368.0
2024-05-01,9.0,33.0,356.0
2024-06-01,5.0,21.0,330.0
2024-07-01,3.0,31.0,404.0
2024-08-01,2.0,25.0,425.0
2024-09-01,5.0,44.0,410.0
2024-10-01,4.0,29.0,379.0
2024-11-01,6.0,31.0,388.0
2024-12-01,5.0,25.0,479.0
2025-01-01,6.0,20.0,560.0
2025-02-01,4.0,17.0,454.0
2025-03-01,3.0,37.0,402.0
2025-04-01,1.0,35.0,445.0
2025-05-01,6.0,30.0,445.0
2025-06-01,6.0,44.0,435.0
2025-07-01,6.0,50.0,466.0
2025-08-01,7.0,33.0,461.0
2025-09-01,7.0,35.0,442.0
2025-10-01,9.0,37.0,525.0
2025-11-01,3.0,41.0,506.0
