OBSERVATION DATE,Foreclosure Property Registration,Notice of Foreclosure,Notice of Intent to Foreclose
2021-07-01,5.0,1.0,28.0
2021-08-01,2.0,3.0,45.0
2021-09-01,2.0,17.0,95.0
2021-10-01,1.0,8.0,136.0
2021-11-01,4.0,16.0,94.0
2021-12-01,4.0,8.0,89.0
2022-01-01,5.0,11.0,112.0
2022-02-01,4.0,8.0,97.0
2022-03-01,2.0,24.0,157.0
2022-04-01,2.0,18.0,174.0
2022-05-01,2.0,13.0,130.0
2022-06-01,1.0,16.0,158.0
2022-07-01,4.0,18.0,161.0
2022-08-01,7.0,23.0,176.0
2022-09-01,8.0,35.0,172.0
2022-10-01,5.0,20.0,178.0
2022-11-01,0.0,28.0,183.0
2022-12-01,6.0,24.0,197.0
2023-01-01,5.0,31.0,251.0
2023-02-01,7.0,30.0,195.0
2023-03-01,5.0,34.0,184.0
2023-04-01,5.0,30.0,167.0
2023-05-01,2.0,32.0,205.0
2023-06-01,9.0,24.0,134.0
2023-07-23,6.0,23.0,176.0
2023-08-01,3.0,18.0,203.0
2023-09-01,5.0,27.0,167.0
2023-10-01,3.0,24.0,191.0
2023-11-01,3.0,15.0,178.0
2023-12-01,4.0,20.0,186.0
2024-01-01,4.0,25.0,225.0
2024-02-01,4.0,25.0,191.0
2024-03-01,6.0,21.0,210.0
2024-04-01,1.0,23.0,213.0
2024-05-01,4.0,22.0,201.0
2024-06-01,3.0,25.0,214.0
2024-07-01,3.0,13.0,246.0
2024-08-01,3.0,17.0,250.0
2024-09-01,2.0,13.0,214.0
2024-10-01,2.0,11.0,228.0
2024-11-01,2.0,17.0,210.0
2024-12-01,2.0,24.0,243.0
2025-01-01,7.0,18.0,307.0
2025-02-01,2.0,21.0,262.0
2025-03-01,5.0,23.0,202.0
2025-04-01,4.0,16.0,270.0
2025-05-01,1.0,14.0,256.0
2025-06-01,2.0,23.0,232.0
2025-07-01,2.0,27.0,304.0
2025-08-01,3.0,26.0,280.0
2025-09-01,3.0,15.0,270.0
2025-10-01,2.0,19.0,291.0
2025-11-01,3.0,23.0,249.0
