OBSERVATION DATE,Foreclosure Property Registration,Notice of Foreclosure,Notice of Intent to Foreclose
2021-07-01,1.0,3.0,29.0
2021-08-01,1.0,9.0,46.0
2021-09-01,5.0,5.0,111.0
2021-10-01,2.0,10.0,128.0
2021-11-01,3.0,7.0,136.0
2021-12-01,9.0,4.0,117.0
2022-01-01,4.0,9.0,139.0
2022-02-01,8.0,10.0,125.0
2022-03-01,6.0,25.0,141.0
2022-04-01,6.0,16.0,220.0
2022-05-01,9.0,28.0,178.0
2022-06-01,3.0,27.0,205.0
2022-07-01,4.0,23.0,179.0
2022-08-01,6.0,53.0,232.0
2022-09-01,4.0,29.0,206.0
2022-10-01,7.0,26.0,250.0
2022-11-01,4.0,30.0,220.0
2022-12-01,12.0,44.0,242.0
2023-01-01,7.0,48.0,265.0
2023-02-01,6.0,44.0,275.0
2023-03-01,8.0,44.0,250.0
2023-04-01,2.0,31.0,194.0
2023-05-01,5.0,39.0,224.0
2023-06-01,11.0,51.0,196.0
2023-07-23,8.0,41.0,209.0
2023-08-01,4.0,25.0,280.0
2023-09-01,6.0,31.0,214.0
2023-10-01,8.0,19.0,230.0
2023-11-01,8.0,27.0,210.0
2023-12-01,8.0,26.0,210.0
2024-01-01,7.0,18.0,263.0
2024-02-01,2.0,35.0,249.0
2024-03-01,2.0,30.0,262.0
2024-04-01,9.0,23.0,228.0
2024-05-01,4.0,33.0,264.0
2024-06-01,2.0,26.0,237.0
2024-07-01,6.0,25.0,284.0
2024-08-01,5.0,17.0,276.0
2024-09-01,3.0,13.0,268.0
2024-10-01,3.0,32.0,259.0
2024-11-01,1.0,22.0,258.0
2024-12-01,3.0,25.0,302.0
2025-01-01,4.0,20.0,353.0
2025-02-01,2.0,21.0,279.0
2025-03-01,4.0,22.0,240.0
2025-04-01,1.0,23.0,282.0
2025-05-01,1.0,21.0,282.0
2025-06-01,1.0,19.0,267.0
2025-07-01,4.0,30.0,288.0
2025-08-01,1.0,23.0,310.0
2025-09-01,4.0,19.0,281.0
2025-10-01,6.0,30.0,362.0
2025-11-01,2.0,35.0,287.0
