OBSERVATION DATE,Foreclosure Property Registration,Notice of Foreclosure,Notice of Intent to Foreclose
2021-07-01,2.0,0.0,20.0
2021-08-01,2.0,3.0,43.0
2021-09-01,2.0,4.0,73.0
2021-10-01,1.0,6.0,85.0
2021-11-01,2.0,8.0,72.0
2021-12-01,4.0,5.0,74.0
2022-01-01,3.0,12.0,88.0
2022-02-01,2.0,8.0,90.0
2022-03-01,3.0,8.0,87.0
2022-04-01,3.0,15.0,148.0
2022-05-01,4.0,20.0,113.0
2022-06-01,0.0,12.0,124.0
2022-07-01,2.0,17.0,96.0
2022-08-01,1.0,23.0,154.0
2022-09-01,1.0,17.0,134.0
2022-10-01,1.0,17.0,137.0
2022-11-01,2.0,23.0,127.0
2022-12-01,1.0,20.0,141.0
2023-01-01,2.0,17.0,179.0
2023-02-01,6.0,16.0,150.0
2023-03-01,4.0,27.0,144.0
2023-04-01,1.0,26.0,116.0
2023-05-01,3.0,25.0,156.0
2023-06-01,6.0,25.0,124.0
2023-07-23,3.0,25.0,121.0
2023-08-01,3.0,22.0,156.0
2023-09-01,2.0,17.0,137.0
2023-10-01,7.0,22.0,140.0
2023-11-01,4.0,9.0,126.0
2023-12-01,3.0,14.0,127.0
2024-01-01,1.0,17.0,169.0
2024-02-01,8.0,12.0,132.0
2024-03-01,2.0,16.0,170.0
2024-04-01,2.0,11.0,163.0
2024-05-01,3.0,6.0,156.0
2024-06-01,6.0,13.0,162.0
2024-07-01,3.0,16.0,170.0
2024-08-01,2.0,11.0,186.0
2024-09-01,2.0,12.0,192.0
2024-10-01,1.0,7.0,180.0
2024-11-01,0.0,19.0,195.0
2024-12-01,2.0,10.0,226.0
2025-01-01,4.0,11.0,235.0
2025-02-01,0.0,14.0,187.0
2025-03-01,0.0,20.0,172.0
2025-04-01,3.0,15.0,157.0
2025-05-01,5.0,26.0,188.0
2025-06-01,0.0,10.0,185.0
2025-07-01,1.0,22.0,197.0
2025-08-01,0.0,19.0,205.0
2025-09-01,1.0,27.0,198.0
2025-10-01,1.0,21.0,201.0
2025-11-01,0.0,13.0,191.0
