OBSERVATION DATE,Foreclosure Property Registration,Notice of Foreclosure,Notice of Intent to Foreclose
2021-07-01,2.0,4.0,87.0
2021-08-01,6.0,14.0,114.0
2021-09-01,5.0,7.0,227.0
2021-10-01,4.0,25.0,279.0
2021-11-01,6.0,27.0,234.0
2021-12-01,6.0,18.0,208.0
2022-01-01,4.0,31.0,290.0
2022-02-01,18.0,28.0,242.0
2022-03-01,12.0,46.0,307.0
2022-04-01,4.0,41.0,400.0
2022-05-01,5.0,40.0,331.0
2022-06-01,8.0,50.0,335.0
2022-07-01,8.0,43.0,305.0
2022-08-01,6.0,65.0,442.0
2022-09-01,14.0,64.0,365.0
2022-10-01,11.0,60.0,413.0
2022-11-01,14.0,67.0,385.0
2022-12-01,3.0,44.0,442.0
2023-01-01,8.0,67.0,446.0
2023-02-01,11.0,73.0,400.0
2023-03-01,13.0,101.0,461.0
2023-04-01,5.0,65.0,361.0
2023-05-01,7.0,89.0,491.0
2023-06-01,9.0,62.0,346.0
2023-07-23,6.0,53.0,345.0
2023-08-01,30.0,79.0,420.0
2023-09-01,9.0,59.0,386.0
2023-10-01,21.0,59.0,406.0
2023-11-01,11.0,44.0,364.0
2023-12-01,12.0,53.0,399.0
2024-01-01,6.0,51.0,503.0
2024-02-01,4.0,49.0,444.0
2024-03-01,13.0,54.0,521.0
2024-04-01,5.0,40.0,506.0
2024-05-01,12.0,51.0,467.0
2024-06-01,4.0,45.0,477.0
2024-07-01,7.0,61.0,566.0
2024-08-01,5.0,62.0,566.0
2024-09-01,4.0,68.0,501.0
2024-10-01,5.0,54.0,547.0
2024-11-01,6.0,37.0,502.0
2024-12-01,5.0,40.0,572.0
2025-01-01,10.0,38.0,650.0
2025-02-01,8.0,40.0,527.0
2025-03-01,2.0,50.0,498.0
2025-04-01,2.0,44.0,559.0
2025-05-01,5.0,58.0,538.0
2025-06-01,6.0,53.0,516.0
2025-07-01,6.0,58.0,564.0
2025-08-01,6.0,57.0,576.0
2025-09-01,6.0,62.0,586.0
2025-10-01,10.0,61.0,580.0
2025-11-01,1.0,56.0,540.0
