OBSERVATION DATE,Foreclosure Property Registration,Notice of Foreclosure,Notice of Intent to Foreclose
2021-07-01,8.0,14.0,152.0
2021-08-01,15.0,21.0,268.0
2021-09-01,17.0,36.0,603.0
2021-10-01,21.0,38.0,650.0
2021-11-01,12.0,76.0,656.0
2021-12-01,11.0,50.0,657.0
2022-01-01,20.0,55.0,689.0
2022-02-01,34.0,76.0,735.0
2022-03-01,13.0,95.0,877.0
2022-04-01,18.0,120.0,1199.0
2022-05-01,23.0,137.0,940.0
2022-06-01,15.0,129.0,1088.0
2022-07-01,20.0,117.0,1010.0
2022-08-01,16.0,165.0,1340.0
2022-09-01,23.0,209.0,1239.0
2022-10-01,28.0,183.0,1225.0
2022-11-01,25.0,194.0,1183.0
2022-12-01,11.0,200.0,1334.0
2023-01-01,33.0,203.0,1528.0
2023-02-01,28.0,170.0,1419.0
2023-03-01,52.0,238.0,1389.0
2023-04-01,43.0,170.0,1101.0
2023-05-01,28.0,189.0,1416.0
2023-06-01,48.0,198.0,1146.0
2023-07-23,27.0,158.0,1245.0
2023-08-01,1.0,193.0,1502.0
2023-09-01,31.0,167.0,1294.0
2023-10-01,27.0,156.0,1303.0
2023-11-01,39.0,137.0,1271.0
2023-12-01,45.0,132.0,1201.0
2024-01-01,28.0,138.0,1579.0
2024-02-01,46.0,160.0,1445.0
2024-03-01,25.0,133.0,1614.0
2024-04-01,30.0,156.0,1512.0
2024-05-01,28.0,114.0,1526.0
2024-06-01,22.0,139.0,1453.0
2024-07-01,15.0,146.0,1676.0
2024-08-01,23.0,127.0,1699.0
2024-09-01,19.0,131.0,1618.0
2024-10-01,22.0,129.0,1741.0
2024-11-01,20.0,110.0,1507.0
2024-12-01,25.0,129.0,1861.0
2025-01-01,23.0,104.0,2074.0
2025-02-01,16.0,117.0,1737.0
2025-03-01,24.0,126.0,1566.0
2025-04-01,21.0,125.0,1629.0
2025-05-01,15.0,162.0,1705.0
2025-06-01,17.0,159.0,1697.0
2025-07-01,31.0,156.0,1844.0
2025-08-01,37.0,177.0,1894.0
2025-09-01,24.0,179.0,1880.0
2025-10-01,25.0,181.0,2025.0
2025-11-01,22.0,171.0,1896.0
