OBSERVATION DATE,Foreclosure Property Registration,Notice of Foreclosure,Notice of Intent to Foreclose
2021-07-01,0.0,0.0,4.0
2021-08-01,0.0,1.0,14.0
2021-09-01,2.0,3.0,28.0
2021-10-01,1.0,3.0,34.0
2021-11-01,1.0,3.0,30.0
2021-12-01,2.0,2.0,28.0
2022-01-01,0.0,4.0,28.0
2022-02-01,0.0,8.0,26.0
2022-03-01,0.0,2.0,31.0
2022-04-01,1.0,4.0,46.0
2022-05-01,4.0,4.0,40.0
2022-06-01,0.0,6.0,41.0
2022-07-01,0.0,6.0,41.0
2022-08-01,3.0,7.0,56.0
2022-09-01,2.0,9.0,52.0
2022-10-01,3.0,11.0,44.0
2022-11-01,1.0,4.0,39.0
2022-12-01,28.0,5.0,54.0
2023-01-01,1.0,2.0,59.0
2023-02-01,2.0,6.0,46.0
2023-03-01,0.0,13.0,45.0
2023-04-01,4.0,8.0,38.0
2023-05-01,0.0,6.0,50.0
2023-06-01,1.0,11.0,46.0
2023-07-23,4.0,4.0,44.0
2023-08-01,2.0,7.0,54.0
2023-09-01,1.0,11.0,41.0
2023-10-01,2.0,6.0,54.0
2023-11-01,1.0,4.0,52.0
2023-12-01,1.0,8.0,35.0
2024-01-01,0.0,5.0,54.0
2024-02-01,0.0,8.0,40.0
2024-03-01,0.0,6.0,40.0
2024-04-01,3.0,8.0,49.0
2024-05-01,2.0,6.0,43.0
2024-06-01,3.0,2.0,43.0
2024-07-01,0.0,9.0,37.0
2024-08-01,1.0,8.0,38.0
2024-09-01,0.0,6.0,44.0
2024-10-01,1.0,7.0,39.0
2024-11-01,2.0,1.0,34.0
2024-12-01,1.0,6.0,59.0
2025-01-01,1.0,5.0,55.0
2025-02-01,0.0,1.0,64.0
2025-03-01,0.0,3.0,37.0
2025-04-01,0.0,6.0,41.0
2025-05-01,1.0,6.0,38.0
2025-06-01,0.0,9.0,51.0
2025-07-01,0.0,4.0,46.0
2025-08-01,2.0,6.0,63.0
2025-09-01,2.0,1.0,47.0
2025-10-01,2.0,7.0,50.0
2025-11-01,1.0,4.0,50.0
