OBSERVATION DATE,Foreclosure Property Registration,Notice of Foreclosure,Notice of Intent to Foreclose
2021-07-01,0.0,1.0,14.0
2021-08-01,0.0,3.0,29.0
2021-09-01,2.0,2.0,46.0
2021-10-01,0.0,9.0,55.0
2021-11-01,3.0,5.0,60.0
2021-12-01,1.0,1.0,67.0
2022-01-01,0.0,12.0,62.0
2022-02-01,2.0,8.0,63.0
2022-03-01,0.0,8.0,64.0
2022-04-01,0.0,14.0,88.0
2022-05-01,1.0,10.0,66.0
2022-06-01,3.0,7.0,83.0
2022-07-01,0.0,12.0,69.0
2022-08-01,2.0,22.0,94.0
2022-09-01,6.0,9.0,95.0
2022-10-01,2.0,16.0,91.0
2022-11-01,5.0,20.0,87.0
2022-12-01,1.0,12.0,103.0
2023-01-01,12.0,25.0,132.0
2023-02-01,9.0,12.0,97.0
2023-03-01,8.0,18.0,113.0
2023-04-01,5.0,11.0,66.0
2023-05-01,2.0,11.0,91.0
2023-06-01,4.0,12.0,83.0
2023-07-23,7.0,16.0,107.0
2023-08-01,2.0,10.0,120.0
2023-09-01,5.0,12.0,106.0
2023-10-01,2.0,11.0,119.0
2023-11-01,2.0,24.0,121.0
2023-12-01,7.0,9.0,101.0
2024-01-01,2.0,12.0,128.0
2024-02-01,2.0,13.0,104.0
2024-03-01,4.0,8.0,95.0
2024-04-01,3.0,7.0,114.0
2024-05-01,5.0,7.0,83.0
2024-06-01,3.0,11.0,86.0
2024-07-01,2.0,8.0,128.0
2024-08-01,1.0,13.0,103.0
2024-09-01,2.0,11.0,102.0
2024-10-01,4.0,11.0,123.0
2024-11-01,1.0,10.0,92.0
2024-12-01,1.0,9.0,126.0
2025-01-01,3.0,12.0,188.0
2025-02-01,5.0,5.0,118.0
2025-03-01,4.0,10.0,109.0
2025-04-01,1.0,21.0,121.0
2025-05-01,2.0,14.0,125.0
2025-06-01,3.0,8.0,123.0
2025-07-01,1.0,12.0,130.0
2025-08-01,3.0,6.0,151.0
2025-09-01,3.0,2.0,127.0
2025-10-01,4.0,14.0,137.0
2025-11-01,1.0,16.0,182.0
