OBSERVATION DATE,Foreclosure Property Registration,Notice of Foreclosure,Notice of Intent to Foreclose
2021-07-01,4.0,0.0,20.0
2021-08-01,5.0,3.0,35.0
2021-09-01,2.0,7.0,74.0
2021-10-01,3.0,2.0,72.0
2021-11-01,2.0,10.0,76.0
2021-12-01,3.0,8.0,68.0
2022-01-01,2.0,17.0,78.0
2022-02-01,8.0,12.0,79.0
2022-03-01,4.0,16.0,90.0
2022-04-01,6.0,13.0,123.0
2022-05-01,5.0,16.0,94.0
2022-06-01,4.0,8.0,105.0
2022-07-01,1.0,13.0,88.0
2022-08-01,2.0,22.0,128.0
2022-09-01,6.0,25.0,105.0
2022-10-01,6.0,9.0,114.0
2022-11-01,9.0,12.0,96.0
2022-12-01,3.0,17.0,125.0
2023-01-01,5.0,14.0,138.0
2023-02-01,4.0,18.0,111.0
2023-03-01,6.0,26.0,119.0
2023-04-01,7.0,22.0,114.0
2023-05-01,8.0,27.0,111.0
2023-06-01,7.0,33.0,103.0
2023-07-23,9.0,17.0,119.0
2023-08-01,5.0,15.0,156.0
2023-09-01,9.0,10.0,128.0
2023-10-01,12.0,8.0,138.0
2023-11-01,6.0,14.0,141.0
2023-12-01,10.0,25.0,127.0
2024-01-01,8.0,11.0,157.0
2024-02-01,6.0,21.0,150.0
2024-03-01,5.0,16.0,162.0
2024-04-01,5.0,16.0,149.0
2024-05-01,5.0,19.0,134.0
2024-06-01,7.0,15.0,135.0
2024-07-01,2.0,10.0,174.0
2024-08-01,3.0,15.0,155.0
2024-09-01,4.0,10.0,161.0
2024-10-01,0.0,11.0,165.0
2024-11-01,2.0,10.0,141.0
2024-12-01,1.0,12.0,154.0
2025-01-01,1.0,17.0,231.0
2025-02-01,3.0,5.0,184.0
2025-03-01,2.0,20.0,149.0
2025-04-01,4.0,14.0,147.0
2025-05-01,2.0,10.0,159.0
2025-06-01,3.0,18.0,174.0
2025-07-01,2.0,20.0,189.0
2025-08-01,3.0,11.0,182.0
2025-09-01,0.0,13.0,190.0
2025-10-01,3.0,22.0,193.0
2025-11-01,5.0,24.0,150.0
