OBSERVATION DATE,Foreclosure Property Registration,Notice of Foreclosure,Notice of Intent to Foreclose
2021-07-01,0.0,1.0,16.0
2021-08-01,1.0,1.0,15.0
2021-09-01,1.0,2.0,20.0
2021-10-01,1.0,3.0,39.0
2021-11-01,1.0,4.0,15.0
2021-12-01,0.0,2.0,22.0
2022-01-01,0.0,4.0,22.0
2022-02-01,2.0,4.0,23.0
2022-03-01,0.0,1.0,29.0
2022-04-01,1.0,1.0,42.0
2022-05-01,3.0,5.0,33.0
2022-06-01,3.0,1.0,30.0
2022-07-01,4.0,3.0,34.0
2022-08-01,0.0,8.0,50.0
2022-09-01,1.0,7.0,40.0
2022-10-01,1.0,4.0,50.0
2022-11-01,2.0,7.0,33.0
2022-12-01,6.0,3.0,34.0
2023-01-01,3.0,13.0,56.0
2023-02-01,4.0,13.0,30.0
2023-03-01,3.0,7.0,47.0
2023-04-01,2.0,5.0,28.0
2023-05-01,2.0,7.0,54.0
2023-06-01,1.0,3.0,39.0
2023-07-23,2.0,9.0,38.0
2023-08-01,1.0,2.0,47.0
2023-09-01,1.0,3.0,41.0
2023-10-01,3.0,3.0,37.0
2023-11-01,0.0,1.0,38.0
2023-12-01,0.0,4.0,31.0
2024-01-01,0.0,5.0,59.0
2024-02-01,2.0,5.0,45.0
2024-03-01,1.0,8.0,55.0
2024-04-01,1.0,3.0,56.0
2024-05-01,0.0,8.0,73.0
2024-06-01,3.0,2.0,55.0
2024-07-01,1.0,0.0,49.0
2024-08-01,0.0,7.0,41.0
2024-09-01,0.0,5.0,24.0
2024-10-01,0.0,3.0,56.0
2024-11-01,0.0,3.0,46.0
2024-12-01,0.0,5.0,51.0
2025-01-01,2.0,6.0,69.0
2025-02-01,0.0,5.0,52.0
2025-03-01,0.0,6.0,56.0
2025-04-01,1.0,4.0,56.0
2025-05-01,2.0,4.0,64.0
2025-06-01,1.0,7.0,63.0
2025-07-01,0.0,7.0,56.0
2025-08-01,2.0,9.0,58.0
2025-09-01,2.0,7.0,56.0
2025-10-01,0.0,7.0,71.0
2025-11-01,6.0,12.0,66.0
