Date,Allegany_HPI_AllTransactions,Allegany_Civilian_Labor_Force,Allegany_Employment_Count,Allegany_Poverty_All_Ages,Allegany_Active_Listings,Allegany_Median_Listing_Price,Allegany_Permits_Annual,Allegany_Real_GDP,Allegany_Population_Annual,Allegany_Unemployed_Persons,Allegany_Unemployment_Rate,Anne Arundel_HPI_AllTransactions,Anne Arundel_Civilian_Labor_Force,Anne Arundel_Employment_Count,Anne Arundel_Poverty_All_Ages,Anne Arundel_Active_Listings,Anne Arundel_Median_Listing_Price,Anne Arundel_Permits_Annual,Anne Arundel_Real_GDP,Anne Arundel_Population_Annual,Anne Arundel_Unemployed_Persons,Anne Arundel_Unemployment_Rate,Baltimore County_HPI_AllTransactions,Baltimore County_Civilian_Labor_Force,Baltimore County_Employment_Count,Baltimore County_Poverty_All_Ages,Baltimore County_Active_Listings,Baltimore County_Median_Listing_Price,Baltimore County_Permits_Annual,Baltimore County_Real_GDP,Baltimore County_Population_Annual,Baltimore County_Unemployed_Persons,Baltimore County_Unemployment_Rate,Baltimore City_HPI_AllTransactions,Baltimore City_Civilian_Labor_Force,Baltimore City_Employment_Count,Baltimore City_Poverty_All_Ages,Baltimore City_Active_Listings,Baltimore City_Median_Listing_Price,Baltimore City_Permits_Annual,Baltimore City_Real_GDP,Baltimore City_Population_Annual,Baltimore City_Unemployed_Persons,Baltimore City_Unemployment_Rate,Calvert_HPI_AllTransactions,Calvert_Civilian_Labor_Force,Calvert_Employment_Count,Calvert_Poverty_All_Ages,Calvert_Active_Listings,Calvert_Median_Listing_Price,Calvert_Permits_Annual,Calvert_Real_GDP,Calvert_Population_Annual,Calvert_Unemployed_Persons,Calvert_Unemployment_Rate,Caroline_HPI_AllTransactions,Caroline_Civilian_Labor_Force,Caroline_Employment_Count,Caroline_Poverty_All_Ages,Caroline_Permits_Annual,Caroline_Real_GDP,Caroline_Population_Annual,Caroline_Unemployed_Persons,Caroline_Unemployment_Rate,Carroll_HPI_AllTransactions,Carroll_Civilian_Labor_Force,Carroll_Employment_Count,Carroll_Poverty_All_Ages,Carroll_Active_Listings,Carroll_Median_Listing_Price,Carroll_Permits_Annual,Carroll_Real_GDP,Carroll_Population_Annual,Carroll_Unemployed_Persons,Carroll_Unemployment_Rate,Cecil_HPI_AllTransactions,Cecil_Civilian_Labor_Force,Cecil_Employment_Count,Cecil_Poverty_All_Ages,Cecil_Active_Listings,Cecil_Median_Listing_Price,Cecil_Permits_Annual,Cecil_Real_GDP,Cecil_Population_Annual,Cecil_Unemployed_Persons,Cecil_Unemployment_Rate,Charles_HPI_AllTransactions,Charles_Civilian_Labor_Force,Charles_Employment_Count,Charles_Poverty_All_Ages,Charles_Active_Listings,Charles_Median_Listing_Price,Charles_Permits_Annual,Charles_Real_GDP,Charles_Population_Annual,Charles_Unemployed_Persons,Charles_Unemployment_Rate,Dorchester_HPI_AllTransactions,Dorchester_Civilian_Labor_Force,Dorchester_Employment_Count,Dorchester_Poverty_All_Ages,Dorchester_Permits_Annual,Dorchester_Real_GDP,Dorchester_Population_Annual,Dorchester_Unemployed_Persons,Dorchester_Unemployment_Rate,Frederick_HPI_AllTransactions,Frederick_Civilian_Labor_Force,Frederick_Employment_Count,Frederick_Poverty_All_Ages,Frederick_Active_Listings,Frederick_Median_Listing_Price,Frederick_Permits_Annual,Frederick_Real_GDP,Frederick_Population_Annual,Frederick_Unemployed_Persons,Frederick_Unemployment_Rate,Garrett_HPI_AllTransactions,Garrett_Civilian_Labor_Force,Garrett_Employment_Count,Somerset_HPI_AllTransactions,Somerset_Civilian_Labor_Force,Somerset_Employment_Count,Somerset_Poverty_All_Ages,Somerset_Permits_Annual,Somerset_Real_GDP,Somerset_Population_Annual,Somerset_Unemployed_Persons,Somerset_Unemployment_Rate,St. Mary's_HPI_AllTransactions,St. Mary's_Civilian_Labor_Force,St. Mary's_Employment_Count,St. Mary's_Poverty_All_Ages,St. Mary's_Active_Listings,St. Mary's_Median_Listing_Price,St. Mary's_Permits_Annual,St. Mary's_Real_GDP,St. Mary's_Population_Annual,St. Mary's_Unemployed_Persons,St. Mary's_Unemployment_Rate,Talbot_HPI_AllTransactions,Talbot_Civilian_Labor_Force,Talbot_Employment_Count,Talbot_Poverty_All_Ages,Talbot_Permits_Annual,Talbot_Real_GDP,Talbot_Population_Annual,Talbot_Unemployed_Persons,Talbot_Unemployment_Rate,Washington_HPI_AllTransactions,Washington_Civilian_Labor_Force,Washington_Employment_Count,Washington_Poverty_All_Ages,Washington_Active_Listings,Washington_Median_Listing_Price,Washington_Permits_Annual,Washington_Real_GDP,Washington_Population_Annual,Washington_Unemployed_Persons,Washington_Unemployment_Rate,Wicomico_HPI_AllTransactions,Wicomico_Civilian_Labor_Force,Wicomico_Employment_Count,Wicomico_Poverty_All_Ages,Wicomico_Active_Listings,Wicomico_Median_Listing_Price,Wicomico_Permits_Annual,Wicomico_Real_GDP,Wicomico_Population_Annual,Wicomico_Unemployed_Persons,Wicomico_Unemployment_Rate,Worcester_HPI_AllTransactions,Worcester_Civilian_Labor_Force,Worcester_Employment_Count,Worcester_Poverty_All_Ages,Worcester_Active_Listings,Worcester_Median_Listing_Price,Worcester_Permits_Annual,Worcester_Real_GDP,Worcester_Population_Annual,Worcester_Unemployed_Persons,Worcester_Unemployment_Rate
1970-12-31,,,,,,,,,84.044,,,,,,,,,,,298.042,,,,,,,,,,,620.409,,,,,,,,,,,905.787,,,,,,,,,,,20.682,,,,,,,,,19.781,,,,,,,,,,,69.006,,,,,,,,,,,53.291,,,,,,,,,,,47.678,,,,,,,,,29.405,,,,,,,,,,,84.927,,,,,,,,,,,,18.924,,,,,,,,,,,47.388,,,,,,,,,23.682,,,,,,,,,,,103.829,,,,,,,,,,,54.236,,,,,,,,,,,24.442,,
1971-01-31,,,,,,,,,84.044,,,,,,,,,,,298.042,,,,,,,,,,,620.409,,,,,,,,,,,905.787,,,,,,,,,,,20.682,,,,,,,,,19.781,,,,,,,,,,,69.006,,,,,,,,,,,53.291,,,,,,,,,,,47.678,,,,,,,,,29.405,,,,,,,,,,,84.927,,,,,,,,,,,,18.924,,,,,,,,,,,47.388,,,,,,,,,23.682,,,,,,,,,,,103.829,,,,,,,,,,,54.236,,,,,,,,,,,24.442,,
1971-02-28,,,,,,,,,84.044,,,,,,,,,,,298.042,,,,,,,,,,,620.409,,,,,,,,,,,905.787,,,,,,,,,,,20.682,,,,,,,,,19.781,,,,,,,,,,,69.006,,,,,,,,,,,53.291,,,,,,,,,,,47.678,,,,,,,,,29.405,,,,,,,,,,,84.927,,,,,,,,,,,,18.924,,,,,,,,,,,47.388,,,,,,,,,23.682,,,,,,,,,,,103.829,,,,,,,,,,,54.236,,,,,,,,,,,24.442,,
1971-03-31,,,,,,,,,84.044,,,,,,,,,,,298.042,,,,,,,,,,,620.409,,,,,,,,,,,905.787,,,,,,,,,,,20.682,,,,,,,,,19.781,,,,,,,,,,,69.006,,,,,,,,,,,53.291,,,,,,,,,,,47.678,,,,,,,,,29.405,,,,,,,,,,,84.927,,,,,,,,,,,,18.924,,,,,,,,,,,47.388,,,,,,,,,23.682,,,,,,,,,,,103.829,,,,,,,,,,,54.236,,,,,,,,,,,24.442,,
1971-04-30,,,,,,,,,84.044,,,,,,,,,,,298.042,,,,,,,,,,,620.409,,,,,,,,,,,905.787,,,,,,,,,,,20.682,,,,,,,,,19.781,,,,,,,,,,,69.006,,,,,,,,,,,53.291,,,,,,,,,,,47.678,,,,,,,,,29.405,,,,,,,,,,,84.927,,,,,,,,,,,,18.924,,,,,,,,,,,47.388,,,,,,,,,23.682,,,,,,,,,,,103.829,,,,,,,,,,,54.236,,,,,,,,,,,24.442,,
1971-05-31,,,,,,,,,84.044,,,,,,,,,,,298.042,,,,,,,,,,,620.409,,,,,,,,,,,905.787,,,,,,,,,,,20.682,,,,,,,,,19.781,,,,,,,,,,,69.006,,,,,,,,,,,53.291,,,,,,,,,,,47.678,,,,,,,,,29.405,,,,,,,,,,,84.927,,,,,,,,,,,,18.924,,,,,,,,,,,47.388,,,,,,,,,23.682,,,,,,,,,,,103.829,,,,,,,,,,,54.236,,,,,,,,,,,24.442,,
1971-06-30,,,,,,,,,84.044,,,,,,,,,,,298.042,,,,,,,,,,,620.409,,,,,,,,,,,905.787,,,,,,,,,,,20.682,,,,,,,,,19.781,,,,,,,,,,,69.006,,,,,,,,,,,53.291,,,,,,,,,,,47.678,,,,,,,,,29.405,,,,,,,,,,,84.927,,,,,,,,,,,,18.924,,,,,,,,,,,47.388,,,,,,,,,23.682,,,,,,,,,,,103.829,,,,,,,,,,,54.236,,,,,,,,,,,24.442,,
1971-07-31,,,,,,,,,84.044,,,,,,,,,,,298.042,,,,,,,,,,,620.409,,,,,,,,,,,905.787,,,,,,,,,,,20.682,,,,,,,,,19.781,,,,,,,,,,,69.006,,,,,,,,,,,53.291,,,,,,,,,,,47.678,,,,,,,,,29.405,,,,,,,,,,,84.927,,,,,,,,,,,,18.924,,,,,,,,,,,47.388,,,,,,,,,23.682,,,,,,,,,,,103.829,,,,,,,,,,,54.236,,,,,,,,,,,24.442,,
1971-08-31,,,,,,,,,84.044,,,,,,,,,,,298.042,,,,,,,,,,,620.409,,,,,,,,,,,905.787,,,,,,,,,,,20.682,,,,,,,,,19.781,,,,,,,,,,,69.006,,,,,,,,,,,53.291,,,,,,,,,,,47.678,,,,,,,,,29.405,,,,,,,,,,,84.927,,,,,,,,,,,,18.924,,,,,,,,,,,47.388,,,,,,,,,23.682,,,,,,,,,,,103.829,,,,,,,,,,,54.236,,,,,,,,,,,24.442,,
1971-09-30,,,,,,,,,84.044,,,,,,,,,,,298.042,,,,,,,,,,,620.409,,,,,,,,,,,905.787,,,,,,,,,,,20.682,,,,,,,,,19.781,,,,,,,,,,,69.006,,,,,,,,,,,53.291,,,,,,,,,,,47.678,,,,,,,,,29.405,,,,,,,,,,,84.927,,,,,,,,,,,,18.924,,,,,,,,,,,47.388,,,,,,,,,23.682,,,,,,,,,,,103.829,,,,,,,,,,,54.236,,,,,,,,,,,24.442,,
1971-10-31,,,,,,,,,84.044,,,,,,,,,,,298.042,,,,,,,,,,,620.409,,,,,,,,,,,905.787,,,,,,,,,,,20.682,,,,,,,,,19.781,,,,,,,,,,,69.006,,,,,,,,,,,53.291,,,,,,,,,,,47.678,,,,,,,,,29.405,,,,,,,,,,,84.927,,,,,,,,,,,,18.924,,,,,,,,,,,47.388,,,,,,,,,23.682,,,,,,,,,,,103.829,,,,,,,,,,,54.236,,,,,,,,,,,24.442,,
